gene_index_978	pr_gene_id	gene_symbol	signed_log2fc	direction	n_pairs	n_probes	comparison	role
890	8204	NRIP1	-0.1679194217	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
891	9133	CCNB2	2.413972889	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
892	10921	RNPS1	1.021757493	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
893	51742	ARID4B	0.2756930981	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
895	27244	SESN1	0.2444149272	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
896	23013	SPEN	0.2801854833	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
897	8050	PDHX	0.866967005	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
898	79961	DENND2D	0.6030854209	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
899	2017	CTTN	0.3923337353	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
900	55148	UBR7	0.1323850965	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
901	960	CD44	1.146602236	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
902	10451	VAV3	0.07355514295	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
903	57406	ABHD6	-0.1715052842	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
904	51719	CAB39	-0.5394277753	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
905	7074	TIAM1	-0.1520375812	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
906	10059	DNM1L	0.596486346	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
907	51071	DERA	-0.01525143858	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
908	5796	PTPRK	0.4466118295	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
909	55008	HERC6	-0.07141527898	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
910	23597	ACOT9	0.9787182837	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
911	8869	ST3GAL5	-0.492988721	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
912	8727	CTNNAL1	0.6278341943	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
913	63874	ABHD4	-0.1203198663	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
914	8821	INPP4B	0.1011423914	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
915	57178	ZMIZ1	-0.6326324225	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
916	5468	PPARG	0.03547334516	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
917	10557	RPP38	0.2902846787	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
919	9531	BAG3	0.2691469208	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
920	2767	GNA11	-0.7315590682	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
921	1861	TOR1A	0.3559739327	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
922	10165	SLC25A13	0.3667833634	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
923	7106	TSPAN4	-0.02615610815	down	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
924	2908	NR3C1	0.002162051994	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
925	57761	TRIB3	2.754119636	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
926	23338	JADE2	0.09534737359	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
927	7852	CXCR4	-0.02088637051	down	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
928	55033	FKBP14	0.3853110913	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
929	57019	CIAPIN1	1.05949345	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
